"date","mean_windspeed","precipitation","sunshine_hours","mean_cloud_cover","mean_humidity","mean_temperature","max_temperature","min_temperature","potential_evapotranspiration"
2004-07-01,NA,2.5,NA,7.7,64,16.6,22.5,10.6,3.5
2004-07-02,NA,1.3,NA,5.7,68,15.6,21.4,11,3.9
2004-07-03,NA,0,NA,6,62,15.8,22,10.1,4.2
2004-07-04,NA,0,NA,0.7,59,17.4,25.6,7.7,5
2004-07-05,NA,6.2,NA,7,75,17.6,25.3,10.1,3.6
2004-07-06,NA,0.4,NA,7.3,82,16.7,20.9,13.9,2.8
2004-07-07,NA,0.2,NA,7,82,18.1,23,13.4,2.9
2004-07-08,NA,35.5,NA,6.7,87,17.6,25.3,14.1,2.9
2004-07-09,NA,4.1,NA,4,68,15,19.5,8.2,4.1
2004-07-10,NA,4.3,NA,6.7,77,12.7,18.1,8.3,2.9
2004-07-11,NA,3.4,NA,6.3,76,12.5,18.5,7.7,2.9
2004-07-12,NA,1,NA,6.7,77,13.3,17.5,10.7,2.7
2004-07-13,NA,12.2,NA,7.3,88,12.5,16.4,9.7,2.3
2004-07-14,NA,0,NA,3.3,71,15.5,21.3,9.4,3.9
2004-07-15,NA,0,NA,7.3,68,18.7,23.5,14.8,3.7
2004-07-16,NA,0,NA,0,69,20.7,27.7,13.2,5.1
2004-07-17,NA,3.2,NA,3.7,69,21.7,29,14.4,5
2004-07-18,NA,0.8,NA,4.3,70,21,28.3,14.4,4.6
2004-07-19,NA,0,NA,6.7,73,19.8,26.4,14.8,4.1
2004-07-20,NA,0.8,NA,5,74,20.6,25.9,15.5,3.5
2004-07-21,NA,12.8,NA,5,75,21.7,28.7,15.8,4.8
2004-07-22,NA,0.1,NA,1,71,22.6,29.5,16.6,5.3
2004-07-23,NA,0,NA,5,75,22.6,29.4,17.1,4.5
2004-07-24,NA,17.1,NA,8,87,19,21.5,14.8,1.8
2004-07-25,NA,0,NA,5,72,18.7,25,11.8,4.3
2004-07-26,NA,0.3,NA,6.7,76,15.8,21.3,11.1,2.7
2004-07-27,NA,0,NA,3.7,72,15.4,21.6,9,3.7
2004-07-28,NA,0,NA,0.3,58,17.3,23.6,10.4,5
2004-07-29,NA,0,NA,0,55,18.4,26.1,11.6,5.1
2004-07-30,NA,0,NA,3.3,61,20.3,28.2,10.6,4.8
2004-07-31,NA,0,NA,3.7,63,21.2,29.7,12.3,4.4
2004-08-01,NA,7.3,NA,2.3,71,20.9,29.9,13.7,4.8
2004-08-02,NA,0,NA,1,60,22.2,30.5,14.5,5.3
2004-08-03,NA,0.4,NA,2.7,70,20.6,29.1,14,4.4
2004-08-04,NA,0,NA,5,67,22.3,29.1,16.6,4.6
