"date","mean_windspeed","precipitation","sunshine_hours","mean_cloud_cover","mean_humidity","mean_temperature","max_temperature","min_temperature","potential_evapotranspiration"
1991-01-01,4.1,4.2,3.7,4.7,82,2.3,5.5,1,0.4
1991-01-02,9,7,0,7.7,90,5.9,8,1,0.6
1991-01-03,5,4.9,0.1,7.7,88,5.7,10.1,4.8,0.6
1991-01-04,5.2,2.2,0,5.3,86,4.3,8.1,3.2,0.6
1991-01-05,8.4,2,3.9,6,80,3,4.4,2.3,0.7
1991-01-06,9.6,0,3.9,3.7,69,3.3,5.1,2.6,1.2
1991-01-07,4,0,0.3,4.7,84,3.4,6.6,1.1,0.6
1991-01-08,7.4,0.9,0.4,7,78,5.6,6.5,2.3,0.9
1991-01-09,8.8,0.4,0,6.3,76,7.1,9,5.5,1.3
1991-01-10,9.5,11.8,0,7.7,80,8.2,12.9,5.9,1.4
1991-01-11,6,2.7,0,5.3,84,5.9,7.3,3.4,0.8
1991-01-12,3,0.4,1.6,7.3,85,2.9,5.6,1.4,0.4
1991-01-13,2.8,0,4.7,3.3,93,-0.9,3,-2.1,0
1991-01-14,9.1,0,4.4,1.7,78,-3.2,-0.4,-5.2,0.7
1991-01-15,6.8,0,7.4,0.3,69,-4.6,-1,-6.7,0.7
1991-01-16,5.8,0,7.4,0,67,-3.6,-0.5,-6.8,0.6
1991-01-17,0.8,0,7.6,0,59,-3.3,2.2,-7.1,0
1991-01-18,0.5,0,7.5,0,52,-2.1,5.3,-7.4,0
1991-01-19,2.3,0.2,4.8,5,59,0,3.6,-4.3,0.7
1991-01-20,2.5,0.1,0,7.3,95,-1,0.3,-2.6,0.3
1991-01-21,3.3,2.8,0,7.7,95,0.7,1.5,-1.8,0.3
1991-01-22,2,0,3.5,6.7,95,0.7,4.1,0.2,0.1
1991-01-23,1,0,0,8,93,-0.1,1.4,-0.6,0.3
1991-01-24,1.4,0,0.5,7.3,89,-1.1,0.1,-3,0.3
1991-01-25,0.4,0,0,8,96,-1.1,0,-1.7,0.2
1991-01-26,1.2,0.4,0,8,97,-0.8,0,-2.1,0.3
1991-01-27,1.5,0,0,7.7,90,-0.4,0.8,-1,0.3
1991-01-28,0.8,0,0,8,88,-2,-0.5,-3,0.3
1991-01-29,1.1,0,0,8,91,-1.4,-0.3,-4.1,0.3
1991-01-30,4.4,0,0,6.3,79,-2.2,-0.5,-2.9,0.7
1991-01-31,3.7,0,8.3,0.3,64,-5.5,-2,-7.5,0.5
1991-02-01,2.9,0,8.2,0,56,-6.8,-1.4,-10.5,0.6
1991-02-02,1.5,0,8.1,0,66,-8.2,-1.8,-12.7,0.3
1991-02-03,2.7,0,6,3,68,-8.4,-4.3,-13,0.4
1991-02-04,3,0,3.2,3.7,77,-5.1,-1.6,-11.6,0.5
1991-02-05,3.6,0.7,4.1,7.7,78,-7,-2.9,-8.9,0.4
1991-02-06,8,0.1,5.9,5.7,83,-13.7,-8.6,-16.8,0.3
1991-02-07,7.5,0.4,0,8,85,-10.3,-9.4,-12.5,0.3
1991-02-08,4.5,0.3,0,8,88,-7.2,-6,-11.3,0.3
1991-02-09,0.8,3,3,6.3,84,-8.1,-3.7,-10.2,0.2
1991-02-10,1.6,2.7,0.1,7.7,89,-4.6,-1.4,-9.5,0.3
1991-02-11,2.8,0.5,1.2,7.7,83,-5.7,-4,-8.1,0.4
1991-02-12,1.7,0.7,0.2,7.7,85,-5.2,-3.7,-6.1,0.4
1991-02-13,3.1,2.9,0.6,8,85,-6.2,-4.4,-7.4,0.4
1991-02-14,3.2,1.2,1.4,7,83,-6.3,-5.5,-8.5,0.4
1991-02-15,6.1,5.5,0,8,85,-3.2,-1.9,-6.9,0.5
1991-02-16,3.2,0.3,0.9,7.7,87,-2.8,-1.4,-3.5,0.5
1991-02-17,2.2,0,0.1,8,83,-3.8,-2.7,-5,0.5
1991-02-18,0.7,0,0,8,82,-1.6,1.2,-4.7,0.4
1991-02-19,1,0,3.5,8,79,-2.1,1.1,-11.2,0.4
1991-02-20,1.5,0,8.7,4.3,82,3.3,8.2,-1.5,0.6
1991-02-21,0.9,0,6.4,4,81,2.7,8.7,-0.7,0.6
1991-02-22,3.6,0.8,7.4,4,71,3.4,5.7,0.5,1
1991-02-23,4.8,0.1,0,8,86,4.2,4.9,2,0.8
1991-02-24,3.3,0,9.9,1,75,8.2,11.6,3.6,1.1
1991-02-25,2,0,0.2,7.7,91,5.3,9,3.9,0.6
1991-02-26,1.3,0,6.1,4.7,90,2.4,7.5,-1.6,0.6
1991-02-27,6.5,0,2.3,6.7,85,-2,0.7,-2.6,0.6
1991-02-28,5.7,0,3.6,6,82,-1,1.1,-4.3,0.8
1991-03-01,2.9,0,6.7,2.7,82,0.2,4.5,-2.4,0.8
1991-03-02,1.5,0,4.1,6.7,85,2.1,5.7,-2.6,0.7
1991-03-03,3,0,7.9,5,79,5.2,9.9,2,1
1991-03-04,2.2,0,6.3,5.7,81,4.6,10.3,-1.1,0.9
1991-03-05,1.6,0.8,0,8,88,4.7,5.9,1.1,0.6
1991-03-06,2.1,0.6,0.9,7.3,88,7,10.2,3.5,0.8
1991-03-07,2.8,0,1.6,6,82,6,11.7,2.9,1
1991-03-08,2.3,0,4.1,4.7,81,6.8,12.2,1.1,1
1991-03-09,1.8,1.8,0,7.7,85,7.4,10.6,2.9,0.8
1991-03-10,2.4,0,0.5,5,82,8.6,12.1,6.5,0.9
