"date","mean_windspeed","precipitation","sunshine_hours","mean_cloud_cover","mean_humidity","mean_temperature","max_temperature","min_temperature","potential_evapotranspiration"
1992-09-01,NA,8.2,NA,8,77,11.4,18.5,9,NA
1992-09-02,NA,0,NA,2,70,14.7,21,7.5,NA
1992-09-03,NA,0,NA,5.3,73,16.2,21.2,7.2,NA
1992-09-04,NA,9.1,NA,8,88,10.6,14.8,8.9,NA
1992-09-05,NA,1,NA,8,86,9.6,11.2,8.4,NA
1992-09-06,NA,0,NA,5.7,78,9.8,15.5,7.5,NA
1992-09-07,NA,0.7,NA,6,77,12.8,20.5,1.9,NA
1992-09-08,NA,0,NA,8,88,13.1,16.5,11.5,NA
1992-09-09,NA,0,NA,3.7,77,14.1,20.5,8.2,NA
1992-09-10,NA,1,NA,6,76,16.7,23,10.3,NA
1992-09-11,NA,2,NA,1.3,80,16.6,25.5,13.4,NA
1992-09-12,NA,0,NA,5.3,92,15,19,10.7,NA
1992-09-13,NA,1.8,NA,3.7,83,15.7,23.5,10.3,NA
1992-09-14,NA,10.8,NA,8,94,13.5,15.5,11,NA
1992-09-15,NA,0,NA,4,81,14.1,20.8,10.8,NA
1992-09-16,NA,0,NA,1,85,14.8,22.5,8.4,NA
1992-09-17,NA,0,NA,0,82,13.8,21.6,8.5,NA
1992-09-18,NA,0,NA,0,82,12.6,21.6,7.8,NA
1992-09-19,NA,0,NA,4,76,14.3,20.6,6.8,NA
1992-09-20,NA,0,NA,1.7,78,13.7,21.5,8.4,NA
1992-09-21,NA,0,NA,0,79,13.3,22.4,6.9,NA
1992-09-22,NA,0,NA,0,71,17,24.1,9,NA
1992-09-23,NA,5.3,NA,6.7,84,14.4,24.5,9.5,NA
1992-09-24,NA,2,NA,8,92,13.9,15,7.9,NA
1992-09-25,NA,0,NA,3.3,86,13.5,19.1,11.3,NA
1992-09-26,NA,0,NA,2.7,83,14.2,21.9,10.1,NA
1992-09-27,NA,0,NA,0,67,16.2,24.5,7.5,NA
1992-09-28,NA,0,NA,3.7,78,16,23,9.4,NA
1992-09-29,NA,14.2,NA,8,93,12.6,16.5,12.4,NA
1992-09-30,NA,3.2,NA,8,94,12.5,13.5,12,NA
1992-10-01,NA,1.3,NA,8,90,12.2,16,10.3,NA
1992-10-02,NA,0,NA,4.3,85,12,17,8.6,NA
1992-10-03,NA,0,NA,6.7,82,12.5,14.5,9.8,NA
1992-10-04,NA,3.1,NA,6.3,74,13.1,15.8,11.5,NA
1992-10-05,NA,0,NA,2,81,14.7,20,10.3,NA
1992-10-06,NA,1.1,NA,5.3,84,13.4,21,8.5,NA
1992-10-07,NA,0.6,NA,8,88,12.1,14,10.4,NA
1992-10-08,NA,0,NA,5.3,83,12.9,16.4,9.4,NA
1992-10-09,NA,2.7,NA,7.7,81,12.5,16,10.7,NA
1992-10-10,NA,0,NA,8,89,9.6,11.4,8.6,NA
1992-10-11,NA,0,NA,5.7,83,8,12.6,5.3,NA
1992-10-12,NA,0,NA,3,74,5.6,11.6,1,NA
1992-10-13,NA,0,NA,0,72,3.6,10.5,-0.5,NA
1992-10-14,NA,0,NA,6,87,5.6,10.4,-2.6,NA
1992-10-15,NA,0,NA,6,78,9.2,13.5,5.5,NA
1992-10-16,NA,1.3,NA,8,78,5.6,9,4.5,NA
1992-10-17,NA,19.1,NA,8,94,3.8,9,2.5,NA
1992-10-18,NA,0.9,NA,5.3,89,3,9,1.5,NA
1992-10-19,NA,0,NA,1.3,85,2.6,9.3,-2.5,NA
1992-10-20,NA,0.6,NA,6.3,90,5.1,9.5,-1,NA
1992-10-21,NA,6.8,NA,8,95,5.2,8.3,2.9,NA
1992-10-22,NA,1.6,NA,8,90,4.2,7.3,2.9,NA
1992-10-23,NA,4.5,NA,8,85,5.4,9,2.4,NA
1992-10-24,NA,10.8,NA,8,81,5.4,7.5,3.9,NA
1992-10-25,NA,16.6,NA,8,94,6,10.5,1.8,NA
1992-10-26,NA,4.2,NA,4.3,85,5.4,8.9,3,NA
1992-10-27,NA,5.2,NA,8,94,4.6,6.3,0,NA
1992-10-28,NA,15.6,NA,6.3,92,7,12.2,5,NA
1992-10-29,NA,0.2,NA,4,81,6.4,11,4.4,NA
1992-10-30,NA,2.8,NA,7.3,84,5,8.5,0,NA
1992-10-31,NA,0.3,NA,5.3,93,3,8.5,0,NA
1992-11-01,NA,0,NA,8,92,3.8,5.9,-0.6,NA
1992-11-02,NA,5.4,NA,8,93,4.9,6,-0.6,NA
1992-11-03,NA,1.7,NA,6.3,93,5.2,8.7,3,NA
1992-11-04,NA,1.1,NA,5.3,96,4.2,8.9,0.3,NA
1992-11-05,NA,0.4,NA,8,91,8.2,10.3,2.2,NA
1992-11-06,NA,0,NA,7,90,7.7,13.5,4,NA
1992-11-07,NA,0.6,NA,2.7,85,6.2,13,3,NA
1992-11-08,NA,4.5,NA,5.3,95,5.8,8.5,2.9,NA
1992-11-09,NA,0,NA,2.7,89,4.6,9,0.4,NA
1992-11-10,NA,2.5,NA,8,93,6,7.7,2,NA
1992-11-11,NA,16.2,NA,7.7,91,7.6,10.5,5,NA
1992-11-12,NA,2.1,NA,6,86,3.6,9.5,3.1,NA
1992-11-13,NA,3.3,NA,5.7,95,0.7,4.1,-0.6,NA
1992-11-14,NA,5.1,NA,3.3,91,0.5,5.5,-1.8,NA
1992-11-15,NA,9.9,NA,7.7,94,2,3.4,-2.3,NA
1992-11-16,NA,8.7,NA,7.7,96,4.5,6,2.5,NA
1992-11-17,NA,0,NA,8,83,3.5,5.1,1.5,NA
1992-11-18,NA,1.1,NA,5,83,1.7,5.2,0,NA
1992-11-19,NA,4,NA,5.7,78,5,8.5,-0.5,NA
1992-11-20,NA,2.1,NA,3,81,2,6,0,NA
1992-11-21,NA,10.7,NA,7.7,91,2.4,5.4,-2.9,NA
1992-11-22,NA,13.1,NA,8,91,10.4,11.5,3,NA
1992-11-23,NA,0,NA,7.7,91,8.4,13.6,5,NA
1992-11-24,NA,0,NA,6,92,4.8,7,2.5,NA
1992-11-25,NA,0.6,NA,6,94,4.8,9,1.5,NA
1992-11-26,NA,3,NA,6,84,8.2,14.4,4,NA
1992-11-27,NA,0.3,NA,4,86,3.4,14.5,0.7,NA
1992-11-28,NA,7.3,NA,8,92,6.7,10.2,1.2,NA
1992-11-29,NA,2.7,NA,8,92,5.9,6.5,5.2,NA
1992-11-30,NA,0,NA,7,94,6.2,8.5,5,NA
1992-12-01,NA,0,NA,8,93,4.7,8,3,NA
1992-12-02,NA,0.2,NA,6,91,3.4,5.6,2.2,NA
1992-12-03,NA,7.1,NA,8,90,5.9,9,2.1,NA
1992-12-04,NA,8.9,NA,5.3,81,5.5,7.6,1.4,NA
1992-12-05,NA,6.1,NA,8,94,1.8,7.2,0.8,NA
1992-12-06,NA,0,NA,8,92,1.2,4,0,NA
1992-12-07,NA,7.7,NA,7.7,89,0.9,2,-1.5,NA
1992-12-08,NA,0.9,NA,8,92,1.7,3,0.6,NA
1992-12-09,NA,0,NA,8,90,2.2,3,0.5,NA
1992-12-10,NA,0,NA,8,91,1.2,2.7,0.4,NA
1992-12-11,NA,9.9,NA,8,92,0.6,2.3,-0.5,NA
1992-12-12,NA,6.7,NA,8,92,3,3.9,0.5,NA
1992-12-13,NA,0,NA,8,80,3.2,4,1.3,NA
1992-12-14,NA,0,NA,6,85,3.8,6,1.3,NA
1992-12-15,NA,0,NA,2.7,89,0.1,6.1,-2.4,NA
1992-12-16,NA,0,NA,8,96,-0.6,0.5,-3.8,NA
1992-12-17,NA,0,NA,8,94,-0.9,0.5,-4,NA
1992-12-18,NA,0,NA,8,93,-0.9,0.6,-1.5,NA
1992-12-19,NA,0,NA,8,94,-0.8,0.5,-1.8,NA
1992-12-20,NA,2.1,NA,7.3,90,0.4,1.5,-1.8,NA
1992-12-21,NA,6.4,NA,8,95,2.6,3.6,0.8,NA
1992-12-22,NA,0,NA,8,92,2.8,4.1,2,NA
1992-12-23,NA,0,NA,8,91,0.4,2.2,0.3,NA
1992-12-24,NA,0,NA,8,90,-1.8,0.8,-2.6,NA
1992-12-25,NA,0,NA,3.7,80,-4.8,-1.6,-6.1,NA
1992-12-26,NA,0,NA,2,82,-5.7,-2,-8,NA
1992-12-27,NA,0,NA,4,92,-7.6,-1.5,-9.6,NA
1992-12-28,NA,0,NA,0,77,-6.1,-1,-9.7,NA
1992-12-29,NA,0,NA,0,78,-7,-2.9,-10.2,NA
1992-12-30,NA,0,NA,0.7,84,-7,-0.5,-10.2,NA
1992-12-31,NA,0,NA,0,87,-7,0,-10,NA
1993-01-01,NA,0,NA,0,85,-7.4,-2.5,-10.5,NA
1993-01-02,NA,0,NA,0.3,77,-10.4,-6.9,-13,NA
1993-01-03,NA,0,NA,1.3,66,-7.5,-4.6,-13,NA
1993-01-04,NA,0,NA,0,66,-5.8,-0.5,-8.3,NA
1993-01-05,NA,0,NA,0,82,-7.2,-0.5,-13.2,NA
1993-01-06,NA,6,NA,8,91,-1.9,0.1,-8.6,NA
1993-01-07,NA,5,NA,8,96,4.4,6,0,NA
1993-01-08,NA,2.4,NA,8,94,5.2,7.5,3.4,NA
1993-01-09,NA,0.1,NA,7.7,96,1.3,4.1,-0.3,NA
1993-01-10,NA,0,NA,4.7,87,3.8,10.5,0.8,NA
1993-01-11,NA,0.3,NA,8,69,10.1,13,1.8,NA
1993-01-12,NA,1.1,NA,5.3,73,9,18.6,4.1,NA
1993-01-13,NA,0.7,NA,2.7,92,0.8,5.8,-2,NA
1993-01-14,NA,2.5,NA,4,85,5.4,10.5,0.3,NA
1993-01-15,NA,0,NA,2,93,1.1,7.5,-1.5,NA
1993-01-16,NA,0,NA,3.3,85,5.3,13,-2.5,NA
1993-01-17,NA,0,NA,0,87,1.8,10.5,-2.5,NA
1993-01-18,NA,0,NA,5,89,3.5,8.5,-2.5,NA
1993-01-19,NA,0,NA,1.3,89,2.9,8.4,-1.9,NA
1993-01-20,NA,0,NA,4.7,77,6,10.5,1.5,NA
1993-01-21,NA,0,NA,1.7,82,6.7,10.3,3.8,NA
1993-01-22,NA,0.1,NA,8,77,9.4,11.3,3.8,NA
1993-01-23,NA,2.2,NA,5.3,81,8.5,10.6,5.6,NA
1993-01-24,NA,9.4,NA,7.7,71,10.6,12.5,9,NA
1993-01-25,NA,0.3,NA,4.3,72,2.4,10.5,0.4,NA
1993-01-26,NA,1.2,NA,3.3,74,0.3,3,-3.6,NA
1993-01-27,NA,1.4,NA,6.7,91,0.6,3,0,NA
1993-01-28,NA,2.8,NA,8,92,1.8,3.5,-0.5,NA
1993-01-29,NA,2.5,NA,8,93,2.3,6.2,0.1,NA
1993-01-30,NA,0,NA,0,72,-4.8,1.5,-5.8,NA
1993-01-31,NA,0,NA,0,69,-6.9,-1.5,-10.5,NA
1993-02-01,NA,0,NA,0,86,-6.4,-1,-10.5,NA
1993-02-02,NA,0,NA,8,91,-4.6,-3,-9.2,NA
1993-02-03,NA,0,NA,8,92,-5.4,-3,-6.5,NA
1993-02-04,NA,0,NA,8,97,-3.6,-2,-8.5,NA
1993-02-05,NA,0,NA,5.3,85,-2.6,2.5,-4.5,NA
1993-02-06,NA,1.3,NA,8,81,0.6,2.5,-4.3,NA
1993-02-07,NA,0.2,NA,8,95,1.9,3.5,1.2,NA
1993-02-08,NA,0,NA,8,98,0.2,1.5,-1,NA
1993-02-09,NA,0,NA,8,93,0.6,1,-0.6,NA
1993-02-10,NA,0,NA,5.3,88,-1,2.2,-4.5,NA
1993-02-11,NA,0,NA,5.3,90,-1.4,2.5,-4.5,NA
1993-02-12,NA,0,NA,8,95,-1,0,-3.5,NA
1993-02-13,NA,0,NA,8,95,-1.9,-1,-2.2,NA
1993-02-14,NA,0,NA,8,94,-2.6,-0.5,-3.4,NA
1993-02-15,NA,0,NA,7.7,75,-0.5,2.9,-2.5,NA
1993-02-16,NA,0.8,NA,8,88,-2.3,-0.5,-6,NA
1993-02-17,NA,3.2,NA,8,94,0.5,2,-2.5,NA
1993-02-18,NA,0,NA,5.3,90,1,4.6,-1,NA
1993-02-19,NA,3,NA,8,89,1.5,3.4,-1,NA
1993-02-20,NA,2,NA,7.7,83,1.6,2.5,0.1,NA
1993-02-21,NA,0.3,NA,5.3,89,-2,2.3,-3.8,NA
1993-02-22,NA,0,NA,1.7,77,-7,-2.5,-9.5,NA
1993-02-23,NA,0.8,NA,3.7,83,-8.9,-3.2,-12.2,NA
1993-02-24,NA,7.5,NA,8,92,-4.8,-2.5,-11.5,NA
1993-02-25,NA,0,NA,7.7,81,-4,0.5,-6.2,NA
1993-02-26,NA,0,NA,3.7,79,-5.8,2.3,-9.5,NA
1993-02-27,NA,0,NA,2,81,-6.2,0.8,-14.5,NA
1993-02-28,NA,0,NA,5,85,-5.7,0.6,-12.2,NA
1993-03-01,NA,0,NA,7.7,71,1.1,5,-7.8,NA
1993-03-02,NA,0,NA,4,64,2.7,5.8,1.8,NA
1993-03-03,NA,4.1,NA,8,93,-1.3,2,-2.3,NA
1993-03-04,NA,0,NA,7.7,80,-4.2,-1.7,-5.2,NA
1993-03-05,NA,1.1,NA,8,84,-3.8,0.5,-9.5,NA
1993-03-06,NA,6.1,NA,8,96,-0.1,1.2,-3.7,NA
1993-03-07,NA,0.2,NA,5.3,77,1.6,4.2,0.4,NA
1993-03-08,NA,0,NA,2.7,71,-0.8,2.2,-3.5,NA
1993-03-09,NA,0,NA,0,75,-1.1,5.5,-4.8,NA
1993-03-10,NA,0,NA,2,79,1.3,10.4,-8.4,NA
1993-03-11,NA,0,NA,5,80,2,10,-2.5,NA
1993-03-12,NA,0,NA,2.7,80,1.8,10.6,-4.5,NA
1993-03-13,NA,0,NA,0,76,3.4,12,-3.2,NA
1993-03-14,NA,0,NA,0,76,3.8,14,-2.1,NA
1993-03-15,NA,0,NA,2,75,5.5,15.5,-2.3,NA
1993-03-16,NA,1.4,NA,3,72,8.8,16.5,-1.3,NA
1993-03-17,NA,5.1,NA,8,92,9.6,10.2,8.3,NA
1993-03-18,NA,0,NA,3,78,10.2,18.6,6,NA
1993-03-19,NA,0,NA,3.7,75,8.2,14.5,3.5,NA
1993-03-20,NA,0,NA,0.7,76,5.6,15.5,-1,NA
1993-03-21,NA,0,NA,7,79,10.2,18,0,NA
1993-03-22,NA,2.9,NA,5.3,84,10.4,16,8.8,NA
1993-03-23,NA,0.7,NA,6.7,79,8.2,12.2,6.2,NA
1993-03-24,NA,0,NA,8,72,6.1,9.4,4.5,NA
1993-03-25,NA,0,NA,4.3,75,2.1,7.1,0,NA
1993-03-26,NA,0,NA,5,82,1,5.2,-1.8,NA
1993-03-27,NA,0,NA,3,78,-0.8,5.4,-3.5,NA
1993-03-28,NA,0,NA,2.3,73,-2,3.2,-4.4,NA
1993-03-29,NA,0.3,NA,3.7,87,-1.7,4.5,-4.5,NA
1993-03-30,NA,0,NA,2.3,65,1,9,-5.2,NA
1993-03-31,NA,0,NA,5,77,3.5,11.5,-4.6,NA
1993-04-01,NA,0,NA,2,69,9.6,17.6,-0.5,NA
1993-04-02,NA,0.4,NA,5.7,84,5.7,11.5,0.5,NA
1993-04-03,NA,0.2,NA,8,91,3.9,8,1,NA
1993-04-04,NA,0.3,NA,8,75,7,12,0.5,NA
1993-04-05,NA,6,NA,6,72,6.9,11.5,3.5,NA
