"date","mean_windspeed","precipitation","sunshine_hours","mean_cloud_cover","mean_humidity","mean_temperature","max_temperature","min_temperature","potential_evapotranspiration"
1991-01-01,NA,3.3,NA,7.3,86,4.2,5.4,1.9,NA
1991-01-02,NA,7.8,NA,8,93,7,9.2,1.8,NA
1991-01-03,NA,3.1,NA,5,83,4.6,9.1,3.1,NA
1991-01-04,NA,0.2,NA,4.7,80,5.6,7,2.3,NA
1991-01-05,NA,1.6,NA,6.3,75,5.5,6,4,NA
1991-01-06,NA,6.7,NA,8,80,5.2,5.9,3.6,NA
1991-01-07,NA,2.1,NA,5,84,4.8,6.4,3.8,NA
1991-01-08,NA,3.4,NA,5,82,5.2,6.3,3.3,NA
1991-01-09,NA,5,NA,6.3,67,6.6,10.2,4.4,NA
1991-01-10,NA,9.1,NA,8,84,7.7,11.2,5.9,NA
1991-01-11,NA,7.1,NA,6.3,88,5.8,7,4,NA
1991-01-12,NA,0.5,NA,6.7,87,3.5,5.8,1.9,NA
1991-01-13,NA,0,NA,6,91,1.4,4.5,-0.4,NA
1991-01-14,NA,0,NA,0,87,-1.6,2.8,-3.1,NA
1991-01-15,NA,0,NA,6.3,87,-0.4,0.4,-4.2,NA
1991-01-16,NA,0,NA,0.7,78,-1.3,1.1,-2.9,NA
1991-01-17,NA,0,NA,0,67,-2,0.9,-4.1,NA
1991-01-18,NA,0,NA,0.7,74,-2.2,1.4,-6.4,NA
1991-01-19,NA,0.1,NA,5,70,0.6,3.4,-2.1,NA
1991-01-20,NA,4,NA,8,93,1.8,2.7,-0.6,NA
1991-01-21,NA,8.6,NA,7.3,95,4.3,5,2.4,NA
1991-01-22,NA,0,NA,8,95,1.8,4,0,NA
1991-01-23,NA,0,NA,6.3,87,2.2,3.3,-0.7,NA
1991-01-24,NA,0,NA,8,94,3.7,5.1,2.5,NA
1991-01-25,NA,0,NA,7.7,87,4.6,5,3.4,NA
1991-01-26,NA,0,NA,7.7,78,3.7,4.9,2.6,NA
1991-01-27,NA,0,NA,7.7,96,2.5,3.9,1.1,NA
1991-01-28,NA,0,NA,8,89,3.2,4,1.5,NA
1991-01-29,NA,0,NA,8,97,0.6,3.5,-1.5,NA
1991-01-30,NA,0,NA,5,75,0,4,-2,NA
1991-01-31,NA,0,NA,0,56,-3.3,-1,-5,NA
1991-02-01,NA,0,NA,0,51,-4.6,-1,-6.6,NA
1991-02-02,NA,0,NA,1,61,-5.5,-3.5,-8,NA
1991-02-03,NA,0,NA,1.7,65,-2.5,-0.8,-7.1,NA
1991-02-04,NA,0.2,NA,8,89,-0.8,1,-4.6,NA
1991-02-05,NA,0.5,NA,7.3,84,-1.8,1.4,-3.7,NA
1991-02-06,NA,2.2,NA,8,81,-5.2,-3.7,-8.6,NA
1991-02-07,NA,0,NA,6,72,-3.2,-0.7,-7.2,NA
1991-02-08,NA,2.1,NA,8,84,-4.5,-2.6,-6.2,NA
1991-02-09,NA,2.3,NA,8,93,-3.4,-2.8,-4.6,NA
1991-02-10,NA,2.4,NA,8,94,-2.8,-0.6,-6.1,NA
1991-02-11,NA,4.8,NA,8,90,-3.7,-2.5,-5.6,NA
1991-02-12,NA,1.6,NA,8,90,-2,-1.1,-3.9,NA
1991-02-13,NA,2.2,NA,8,90,-3.2,-1.2,-4.4,NA
1991-02-14,NA,2.4,NA,8,86,-4.6,-2,-6.5,NA
1991-02-15,NA,7.8,NA,8,97,-0.5,0.4,-7.2,NA
1991-02-16,NA,0.3,NA,7.3,91,-2.5,0.2,-4.5,NA
1991-02-17,NA,0,NA,5.7,83,2.3,4.3,-4.6,NA
1991-02-18,NA,0,NA,2,77,-4,3.2,-7.8,NA
1991-02-19,NA,0,NA,8,78,0.6,2.6,-10,NA
1991-02-20,NA,0,NA,8,84,0,2,-3.9,NA
1991-02-21,NA,0,NA,5.3,90,1.4,3.8,-0.1,NA
1991-02-22,NA,4.5,NA,5,85,2.4,5.4,-1.2,NA
1991-02-23,NA,4.8,NA,8,92,7.3,9.4,0.6,NA
1991-02-24,NA,1.5,NA,2.3,71,10.3,13.3,7.8,NA
1991-02-25,NA,1.2,NA,5.3,81,6.5,11.4,3.8,NA
1991-02-26,NA,0,NA,4.7,84,2.6,8,-0.6,NA
1991-02-27,NA,0,NA,6,75,0,1.6,-2.1,NA
1991-02-28,NA,0,NA,8,81,0.8,1.4,-0.9,NA
1991-03-01,NA,0,NA,6.3,79,1.5,4.1,-0.7,NA
1991-03-02,NA,0,NA,6.7,79,2,4.3,-0.7,NA
1991-03-03,NA,0,NA,5.7,78,5.6,9.7,0.8,NA
1991-03-04,NA,0,NA,2.3,81,5,11.4,2.3,NA
1991-03-05,NA,3,NA,8,86,4.8,7.2,1.7,NA
1991-03-06,NA,0.1,NA,8,88,5.1,6.9,3.2,NA
1991-03-07,NA,0,NA,7.3,81,5.1,6.9,3.1,NA
1991-03-08,NA,0,NA,7.3,87,4.1,6.7,2.1,NA
1991-03-09,NA,0,NA,8,92,3.1,6.2,1.8,NA
1991-03-10,NA,0,NA,7,91,6.2,10.9,1.7,NA
1991-03-11,NA,0,NA,2,82,8.8,15.2,-0.6,NA
1991-03-12,NA,0,NA,7.7,94,8.6,11.6,6.4,NA
1991-03-13,NA,0.1,NA,8,98,6.4,8.4,4.4,NA
1991-03-14,NA,0.2,NA,4.7,84,10.2,15.8,5.9,NA
1991-03-15,NA,0,NA,5.3,82,9.2,13.5,6.5,NA
1991-03-16,NA,0,NA,7.7,95,4.8,7.5,3.4,NA
1991-03-17,NA,0,NA,6.7,82,9.6,14.6,3.2,NA
1991-03-18,NA,0,NA,6.7,93,6.6,13.8,2.3,NA
1991-03-19,NA,14.4,NA,8,98,9.2,10.7,3.3,NA
1991-03-20,NA,7.5,NA,7,75,8.4,11.8,6.6,NA
1991-03-21,NA,1.2,NA,6.7,83,9.3,13.4,6.4,NA
1991-03-22,NA,0,NA,4.3,80,5.4,9.4,3.6,NA
1991-03-23,NA,0,NA,7.3,83,4.2,9.5,1.5,NA
1991-03-24,NA,0,NA,6.3,85,3.9,10.8,-1.6,NA
1991-03-25,NA,0,NA,7,90,3.2,5.1,0.6,NA
1991-03-26,NA,0,NA,2,78,4.9,10.2,1.4,NA
1991-03-27,NA,0,NA,5.7,78,5.4,10.3,0.4,NA
1991-03-28,NA,0,NA,5.7,79,3.9,8.5,1.5,NA
1991-03-29,NA,0,NA,4,82,4,10.8,-1.6,NA
1991-03-30,NA,0,NA,3.3,73,5.7,11.4,-1.1,NA
1991-03-31,NA,1.1,NA,7.7,75,5.4,7.2,2.4,NA
1991-04-01,NA,3.8,NA,8,97,9,9.7,4.1,NA
1991-04-02,NA,0.5,NA,8,93,9.8,10.6,8.3,NA
1991-04-03,NA,0,NA,7,89,8.2,13.6,4.5,NA
1991-04-04,NA,0,NA,4,79,8.7,14.2,4.1,NA
1991-04-05,NA,0,NA,2.7,79,10.2,13.9,4.1,NA
1991-04-06,NA,0,NA,6,75,8.9,13.3,2.6,NA
1991-04-07,NA,4.9,NA,5.3,80,7.8,13.3,4.6,NA
1991-04-08,NA,3.1,NA,5.3,79,7.6,12.5,4.6,NA
1991-04-09,NA,0.1,NA,4.3,67,8,12.7,4.8,NA
1991-04-10,NA,0,NA,5.7,64,9.8,16.2,0,NA
