"date","mean_windspeed","precipitation","sunshine_hours","mean_cloud_cover","mean_humidity","mean_temperature","max_temperature","min_temperature","potential_evapotranspiration"
1991-01-01,NA,0.7,NA,5.3,80,5.6,7.5,4,0.7
1991-01-02,NA,3.4,NA,8,89,8,9.2,3.9,0.7
1991-01-03,NA,1.8,NA,6.7,88,10.1,10.8,9.2,0.9
1991-01-04,NA,0.7,NA,6,87,6.6,11.2,5.3,0.8
1991-01-05,NA,4,NA,4.7,70,6.3,8.3,4,1.3
1991-01-06,NA,0.9,NA,3,77,5.2,8.5,2.7,0.9
1991-01-07,NA,2.8,NA,5.3,89,7.4,9.7,4.3,0.5
1991-01-08,NA,0,NA,4.3,74,7.6,9.3,1.8,0.9
1991-01-09,NA,2.5,NA,6.3,65,10.4,10.6,5.4,1.7
1991-01-10,NA,5.7,NA,7.7,67,12,16.5,8.6,2.2
1991-01-11,NA,8.3,NA,5.3,81,9.9,11.6,7.3,0.8
1991-01-12,NA,0,NA,7,83,5.5,9.7,4.2,0.6
1991-01-13,NA,0,NA,5.3,74,3.1,5.8,1,0.7
1991-01-14,NA,0,NA,3.3,46,2.3,4.3,0.7,1.7
1991-01-15,NA,0,NA,0,29,1.9,5.3,-0.7,1.7
1991-01-16,NA,0,NA,0,54,-2,2,-3.5,0.8
1991-01-17,NA,0,NA,2.3,75,-2.6,1.5,-4.6,0.3
1991-01-18,NA,0,NA,1.7,82,-4.6,-0.5,-7,0.2
1991-01-19,NA,3.5,NA,7.7,89,-1.1,0.8,-6.8,0.3
1991-01-20,NA,0,NA,8,92,1.8,2.6,0.8,0.3
1991-01-21,NA,3.6,NA,8,94,1.4,1.8,0.5,0.3
1991-01-22,NA,0,NA,7,88,1.8,3.3,1.2,0.4
1991-01-23,NA,0,NA,8,72,1.2,2.2,0.5,0.7
1991-01-24,NA,0,NA,5.3,75,0.6,3,-1,0.6
1991-01-25,NA,0,NA,2.3,77,1,3.9,-3.3,0.4
